name,ticker
EASE2PAY NV,EAS2P
EASSON HOLDINGS,MLEAS
EAUX DE ROYAN,MLEDR
EAVS,MLEAV
EBUSCO HOLDING,EBUS
ECFC,
ECIT AS B-AKSJER,ECIT
ECOLUTIONS,MLECO
ECOMIAM,ALECO
ECONOCOM GROUP,ECONB
ECOONLINE HOLDING,ECO
ECOSLOPS,ALESA
EDDA WIND,EWIND
EDENRED,EDEN
EDF,EDF
EDILIZIACROBATICA,ALEAC
EDITIONS DU SIGNE,MLEDS
EDP,EDP
EDP RENOVAVEIS,EDPR
EDUFORM ACTION,MLEFA
EDUNIVERSAL,MLEDU
EES,MLEES
EGIDE,GID
EHC ORD SHARES,EHCS
EHC TREAS SHARES,EHCT
EHC WARRANTS,EHCW
EIDESVIK OFFSHORE,EIOF
EIFFAGE,FGR
EKINOPS,EKI
EKOPAK,EKOP
ELEC.STRASBOURG,ELEC
ELECT. MADAGASCAR,EEM
ELECTROMAGNET GEO,EMGS
ELEKTROIMPORTØREN,ELIMP
ELIA GROUP,ELI
ELIOR GROUP,ELIOR
ELIS,ELIS
ELKEM,ELK
ELLIPTIC LABORATOR,ELABS
ELMERA GROUP,ELMRA
ELOP,ELOP
ELOPAK,ELO
EMBENTION,MLUAV
EMD MUSIC,EMD
EMOVA GROUP,ALEMV
EMULATION,
ENCRES DUBUIT,ALDUB
ENDÚR,ENDUR
ENENSYS,ALNN6
ENERGISME,ALNRG
ENERTIME,ALENE
ENGAGE XR HOLDINGS,EXR
ENGIE,ENGI
ENI,ENI
ENOGIA,ALENO
ENSURGE MICROPOWER,ENSU
ENTECH,ALESE
ENTP ORD SHARES,ENTPA
ENTP TREAS SHARES,ENTPT
ENTP WARRANTS,ENTPW
ENTRA,ENTRA
ENTREPARTICULIERS,ALENT
ENTREPRENDRE,ALENR
ENVIPCO,ENVI
ENVIPCO HOLDING,ENVIP
EO2,ALEO2
EPIC Ord Shares,EPIC
EPIC WARRANTS,EPICW
EQUASENS,EQS
EQUINOR,EQNR
EQUITY BCDC,
ERAMET,ERA
EROLD,ALPLA
ERYTECH PHARMA,ERYP
ESG CORE INVEST,ESG
ESG CORE TREAS SHA,ESGT
ESG CORE WARRANTS,ESGWA
ESI GROUP,ESI
ESKER,ALESK
ESPERITE,ESP
ESSILORLUXOTTICA,EL
ESSO,ES
ESTORIL SOL N,ESON
ETEX,
EUPEN FINANZ,
EURASIA FONC INV,EFI
EURASIA GROUPE,ALEUA
EURAZEO,RF
EUREKING SHARES,KINGS
EUREKING WARRANTS,KINGW
EURO RESSOURCES,EUR
EUROAPI,EAPI
EUROBIO-SCIENTIFIC,ALERS
EUROCASTLE INVEST.,ECT
EUROCOMMERCIAL,ECMPA
EUROFINS CEREP,ALECR
EUROFINS SCIENT.,ERF
EUROLAND CORPORATE,MLERO
EUROLOG CANOLA,MLCAN
EUROMEDIS GROUPE,ALEMG
EURONAV,EURN
EURONEXT,ENX
EURONEXT,ENXP
EUROPACORP,ALECP
EUROPLASMA,ALEUP
EUROPRIS,EPR
EUTELSAT COMMUNIC.,ETL
EVERFUEL,EFUEL
EVERGREEN,EGR
EVERSET,MLEVE
EVOLIS,ALTVO
EVS BROADC.EQUIPM.,EVS
EXACOMPTA CLAIREF.,ALEXA
EXACT THERAPEUTICS,EXTX
EXCLUSIVE NETWORKS,EXN
EXEL INDUSTRIES,EXE
EXMAR,EXM
EXPLOSIFS PROD.CHI,EXPL
FACEPHI,ALPHI
FAGRON,FAGR
FAIFEY INVEST,MLECE
FARMINVESTE,MLFMV
FASHION B AIR,ALFBA
FASTNED,FAST
